No,Variable,Odds_Ratio,CI_Lower,CI_Upper,Year
4,Septicemia(CCS2),1.152,0.94,1.412,2008
5,Oth bact inf(CCS23),0.615,0.583,0.648,2008
6,HIV infectn(CSS5),1.178,1.001,1.387,2008
7,"Esoph cancer(CCS12), Stomch cancr(CCS13), Colon cancer(CCS14), Liver/ibd ca(CCS16), Pancreas can(CCS17), GI/perit can(CCS18), Brnch/lng ca(CCS19), Breast cancr(CCS24), Ovary cancer(CCS27), Prostate can(CCS29), Bladder cncr(CCS32), Brain/ns can(CCS35)",1.416,1.343,1.492,2008
8,Non-Hodg lym(CCS38),1.667,1.49,1.865,2008
9,"Leukemias(CCS39), Mult myeloma(CCS40)",1.932,1.769,2.11,2008
10,"Ot primry ca(CCS41), 2ndary malig(CCS42), Malig neopls(CCS43),Neoplsm unsp(CCS44)",1.964,1.85,2.083,2008
11,DiabMel w/cm(CCS50),0.698,0.66,0.737,2008
12,Hyperlipidem(CCS53),0.742,0.707,0.78,2008
13,Anemia(CCS59),0.743,0.716,0.77,2008
14,Coag/hemr dx(CCS62),1.378,1.322,1.436,2008
15,Coma/brn dmg(CCS85),1.952,1.822,2.091,2008
16,Hrt valve dx(CCS96),0.985,0.917,1.057,2008
17,Acute MI(CCS100),1.281,1.214,1.351,2008
18,Chest pain(CCS102),0.625,0.481,0.813,2008
19,Dysrhythmia(CCS106),1.195,1.154,1.237,2008
20,Cardia arrst(CCS107),6.35,5.805,6.946,2008
21,Acute CVD(CCS109),1.853,1.703,2.017,2008
22,Ot circul dx(CCS117),1.183,1.129,1.24,2008
23,"Pneumonia(CCS122),Oth low resp(CCS133)",0.92,0.891,0.951,2008
24,"COPD(CCS127),Asthma(CCS128)",0.785,0.756,0.815,2008
25,Adlt resp fl(CCS131),3.298,3.19,3.411,2008
26,Peritonitis(CCS148),1.421,1.308,1.543,2008
27,GI hemorrhag(CCS153),1.443,1.363,1.527,2008
28,Ac renl fail(CCS157),1.493,1.448,1.539,2008
29,Chr kidney disease(CCS158),1.088,1.05,1.128,2008
30,UTI(CCS159),0.605,0.586,0.626,2008
31,Skin infectn(CCS197),0.75,0.705,0.797,2008
32,Complic devi(CCS237),0.668,0.632,0.706,2008
33,Shock(CCS249),2.312,2.241,2.387,2008
1,FEMALE,1.146,1.112,1.181,2009
2,age65,1.873,1.811,1.938,2009
3,Tuberculosis(CC1),1.408,1.02,1.945,2009
4,Septicemia(CCS2),1.093,0.898,1.33,2009
5,Oth bact inf(CCS23),0.537,0.505,0.571,2009
6,HIV infectn(CSS5),1.449,1.234,1.702,2009
7,"Esoph cancer(CCS12), Stomch cancr(CCS13), Colon cancer(CCS14), Liver/ibd ca(CCS16), Pancreas can(CCS17), GI/perit can(CCS18), Brnch/lng ca(CCS19), Breast cancr(CCS24), Ovary cancer(CCS27), Prostate can(CCS29), Bladder cncr(CCS32), Brain/ns can(CCS35)",1.467,1.393,1.545,2009
8,Non-Hodg lym(CCS38),1.739,1.56,1.937,2009
9,"Leukemias(CCS39), Mult myeloma(CCS40)",1.851,1.694,2.023,2009
10,"Ot primry ca(CCS41), 2ndary malig(CCS42), Malig neopls(CCS43),Neoplsm unsp(CCS44)",1.975,1.862,2.093,2009
11,DiabMel w/cm(CCS50),0.738,0.699,0.78,2009
12,Hyperlipidem(CCS53),0.774,0.738,0.811,2009
13,Anemia(CCS59),0.746,0.72,0.773,2009
14,Coag/hemr dx(CCS62),1.395,1.341,1.453,2009
15,Coma/brn dmg(CCS85),1.92,1.798,2.051,2009
16,Hrt valve dx(CCS96),0.979,0.913,1.05,2009
17,Acute MI(CCS100),1.286,1.22,1.356,2009
18,Chest pain(CCS102),0.571,0.441,0.739,2009
19,Dysrhythmia(CCS106),1.227,1.186,1.27,2009
20,Cardia arrst(CCS107),5.383,4.938,5.868,2009
21,Acute CVD(CCS109),1.679,1.54,1.83,2009
22,Ot circul dx(CCS117),1.18,1.125,1.238,2009
23,"Pneumonia(CCS122),Oth low resp(CCS133)",0.935,0.905,0.966,2009
24,"COPD(CCS127),Asthma(CCS128)",0.785,0.756,0.815,2009
25,Adlt resp fl(CCS131),3.416,3.303,3.533,2009
26,Peritonitis(CCS148),1.289,1.191,1.396,2009
27,GI hemorrhag(CCS153),1.606,1.514,1.702,2009
28,Ac renl fail(CCS157),1.45,1.406,1.495,2009
29,Chr kidney disease(CCS158),1.128,1.088,1.169,2009
30,UTI(CCS159),0.623,0.603,0.644,2009
31,Skin infectn(CCS197),0.732,0.689,0.778,2009
32,Complic devi(CCS237),0.672,0.635,0.711,2009
33,Shock(CCS249),2.376,2.303,2.452,2009
1,FEMALE,1.156,1.124,1.189,2010
2,age65,1.935,1.874,1.998,2010
3,Tuberculosis(CC1),1.397,1.013,1.927,2010
4,Septicemia(CCS2),1.092,0.883,1.349,2010
5,Oth bact inf(CCS23),0.535,0.503,0.569,2010
6,HIV infectn(CSS5),1.582,1.376,1.82,2010
7,"Esoph cancer(CCS12), Stomch cancr(CCS13), Colon cancer(CCS14), Liver/ibd ca(CCS16), Pancreas can(CCS17), GI/perit can(CCS18), Brnch/lng ca(CCS19), Breast cancr(CCS24), Ovary cancer(CCS27), Prostate can(CCS29), Bladder cncr(CCS32), Brain/ns can(CCS35)",1.446,1.377,1.519,2010
8,Non-Hodg lym(CCS38),1.51,1.357,1.68,2010
9,"Leukemias(CCS39), Mult myeloma(CCS40)",1.984,1.827,2.154,2010
10,"Ot primry ca(CCS41), 2ndary malig(CCS42), Malig neopls(CCS43),Neoplsm unsp(CCS44)",2.03,1.922,2.144,2010
11,DiabMel w/cm(CCS50),0.711,0.674,0.749,2010
12,Hyperlipidem(CCS53),0.77,0.737,0.804,2010
13,Anemia(CCS59),0.779,0.753,0.806,2010
14,Coag/hemr dx(CCS62),1.37,1.32,1.423,2010
15,Coma/brn dmg(CCS85),1.938,1.818,2.065,2010
16,Hrt valve dx(CCS96),0.992,0.926,1.063,2010
17,Acute MI(CCS100),1.274,1.213,1.339,2010
18,Chest pain(CCS102),0.603,0.471,0.772,2010
19,Dysrhythmia(CCS106),1.15,1.114,1.188,2010
20,Cardia arrst(CCS107),5.15,4.774,5.555,2010
21,Acute CVD(CCS109),1.79,1.657,1.934,2010
22,Ot circul dx(CCS117),1.23,1.175,1.289,2010
23,"Pneumonia(CCS122),Oth low resp(CCS133)",0.934,0.905,0.963,2010
24,"COPD(CCS127),Asthma(CCS128)",0.775,0.747,0.803,2010
25,Adlt resp fl(CCS131),3.361,3.255,3.471,2010
26,Peritonitis(CCS148),1.159,1.079,1.245,2010
27,GI hemorrhag(CCS153),1.372,1.297,1.451,2010
28,Ac renl fail(CCS157),1.471,1.429,1.515,2010
29,Chr kidney disease(CCS158),1.111,1.074,1.149,2010
30,UTI(CCS159),0.614,0.595,0.634,2010
31,Skin infectn(CCS197),0.702,0.662,0.745,2010
32,Complic devi(CCS237),0.684,0.648,0.721,2010
33,Shock(CCS249),2.439,2.368,2.513,2010
1,FEMALE,1.146,1.116,1.178,2011
2,age65,1.888,1.832,1.946,2011
3,Tuberculosis(CC1),1.678,1.231,2.289,2011
4,Septicemia(CCS2),1.081,0.881,1.327,2011
5,Oth bact inf(CCS23),0.532,0.502,0.565,2011
6,HIV infectn(CSS5),1.286,1.107,1.495,2011
7,"Esoph cancer(CCS12), Stomch cancr(CCS13), Colon cancer(CCS14), Liver/ibd ca(CCS16), Pancreas can(CCS17), GI/perit can(CCS18), Brnch/lng ca(CCS19), Breast cancr(CCS24), Ovary cancer(CCS27), Prostate can(CCS29), Bladder cncr(CCS32), Brain/ns can(CCS35)",1.413,1.35,1.48,2011
8,Non-Hodg lym(CCS38),1.724,1.562,1.904,2011
9,"Leukemias(CCS39), Mult myeloma(CCS40)",1.954,1.809,2.111,2011
10,"Ot primry ca(CCS41), 2ndary malig(CCS42), Malig neopls(CCS43),Neoplsm unsp(CCS44)",2.012,1.912,2.116,2011
11,DiabMel w/cm(CCS50),0.673,0.641,0.707,2011
12,Hyperlipidem(CCS53),0.759,0.729,0.789,2011
13,Anemia(CCS59),0.782,0.758,0.808,2011
14,Coag/hemr dx(CCS62),1.322,1.277,1.368,2011
15,Coma/brn dmg(CCS85),1.96,1.849,2.077,2011
16,Hrt valve dx(CCS96),1.042,0.979,1.109,2011
17,Acute MI(CCS100),1.263,1.205,1.323,2011
18,Chest pain(CCS102),0.567,0.448,0.718,2011
19,Dysrhythmia(CCS106),1.139,1.106,1.174,2011
20,Cardia arrst(CCS107),5.2,4.842,5.583,2011
21,Acute CVD(CCS109),1.952,1.814,2.101,2011
22,Ot circul dx(CCS117),1.177,1.125,1.231,2011
23,"Pneumonia(CCS122),Oth low resp(CCS133)",0.942,0.915,0.97,2011
24,"COPD(CCS127),Asthma(CCS128)",0.768,0.743,0.794,2011
25,Adlt resp fl(CCS131),3.581,3.473,3.692,2011
26,Peritonitis(CCS148),1.145,1.071,1.225,2011
27,GI hemorrhag(CCS153),1.475,1.4,1.554,2011
28,Ac renl fail(CCS157),1.476,1.436,1.518,2011
29,Chr kidney disease(CCS158),1.121,1.086,1.157,2011
30,UTI(CCS159),0.649,0.63,0.669,2011
31,Skin infectn(CCS197),0.673,0.637,0.711,2011
32,Complic devi(CCS237),0.669,0.635,0.705,2011
33,Shock(CCS249),2.519,2.45,2.591,2011
